'sample #','V5','V2'
410,997,1088
411,999,1089
412,1000,1093
413,1003,1093
414,1003,1093
415,1002,1091
416,1001,1091
417,1002,1095
418,1005,1099
419,1006,1098
420,1006,1099
421,1006,1097
422,1005,1098
423,1004,1098
424,1007,1100
425,1011,1102
426,1010,1101
427,1005,1100
428,1008,1101
429,1007,1103
430,1008,1106
431,1012,1105
432,1014,1105
433,1010,1104
434,1010,1105
435,1010,1108
436,1012,1110
437,1015,1112
438,1013,1111
439,1013,1111
440,1013,1111
441,1014,1116
442,1015,1117
443,1019,1118
444,1018,1119
445,1018,1117
446,1014,1119
447,1016,1121
448,1018,1124
449,1023,1125
450,1024,1125
451,1023,1124
452,1020,1124
453,1021,1127
454,1024,1129
455,1026,1129
456,1025,1129
457,1026,1129
458,1024,1128
459,1023,1131
460,1027,1132
461,1027,1134
462,1027,1133
463,1025,1132
464,1024,1131
465,1023,1132
466,1023,1132
467,1025,1132
468,1024,1130
469,1021,1128
470,1018,1126
471,1017,1127
472,1017,1128
473,1017,1125
474,1016,1124
475,1012,1120
476,1008,1118
477,1008,1118
478,1008,1118
479,1009,1116
480,1006,1115
481,1004,1111
482,1000,1109
483,1000,1107
484,1001,1107
485,1001,1106
486,999,1102
487,995,1099
488,992,1095
489,992,1097
490,994,1098
491,992,1095
492,993,1095
493,990,1091
494,989,1087
495,989,1087
496,988,1091
497,989,1090
498,989,1087
499,987,1083
500,984,1082
501,982,1084
502,986,1085
503,986,1085
504,986,1083
505,985,1080
506,981,1076
507,981,1080
508,984,1079
509,985,1079
510,983,1080
511,980,1074
512,977,1072
513,980,1077
514,981,1078
515,983,1078
516,982,1074
517,979,1072
518,977,1069
519,976,1076
520,978,1076
521,979,1078
522,978,1076
523,975,1072
524,977,1072
525,975,1073
526,977,1073
527,977,1075
528,978,1074
529,976,1071
530,972,1072
531,972,1073
532,972,1074
533,974,1074
534,971,1075
535,970,1071
536,968,1072
537,971,1071
538,972,1074
539,973,1073
540,971,1072
541,969,1070
542,967,1068
543,967,1070
544,969,1072
545,971,1070
546,970,1070
547,969,1070
548,966,1066
549,967,1070
550,966,1070
551,969,1071
552,970,1069
553,967,1064
554,962,1064
555,963,1066
556,962,1070
557,965,1066
558,965,1068
559,965,1065
560,962,1063
561,963,1063
562,964,1065
563,965,1065
564,964,1062
565,961,1062
566,960,1062
567,962,1061
568,963,1064
569,963,1062
570,961,1063
571,960,1061
572,957,1059
573,959,1061
574,961,1063
575,961,1063
576,963,1063
577,961,1061
578,960,1059
579,960,1060
580,962,1063
581,962,1062
582,959,1062
583,961,1059
584,960,1057
585,960,1061
586,958,1061
587,962,1060
588,963,1060
589,960,1058
590,959,1059
591,960,1058
592,962,1059
593,963,1060
594,961,1059
595,959,1056
596,958,1055
597,960,1059
598,962,1060
599,963,1059
600,965,1059
601,965,1058
602,963,1058
603,964,1059
604,969,1060
605,970,1061
606,970,1061
607,972,1061
608,976,1063
609,991,1064
610,1023,1072
611,1088,1080
612,1178,1107
613,1205,1165
614,1137,1217
615,1056,1205
616,1021,1153
617,1023,1113
618,1027,1102
619,1019,1097
620,1009,1093
621,1007,1090
622,1007,1087
623,1008,1085
624,1007,1082
625,1008,1075
626,1005,1071
627,1003,1066
628,1002,1060
629,998,1056
630,995,1048
631,987,1042
632,985,1039
633,982,1037
634,977,1036
635,971,1030
636,963,1026
637,952,1021
638,942,1016
639,932,1014
640,922,1011
641,905,1005
642,885,1002
643,871,999
644,858,995
645,851,993
646,840,994
647,831,990
648,825,985
649,821,977
650,815,966
651,814,959
652,817,951
653,819,945
654,815,944
655,815,934
656,816,928
657,820,921
658,823,915
659,830,908
660,838,905
661,842,896
662,850,890
663,863,888
664,877,890
665,887,896
666,898,903
667,907,913
668,915,923
669,925,938
670,932,952
671,939,965
672,944,977
673,947,987
674,947,997
675,949,1007
676,955,1015
677,957,1024
678,961,1027
679,962,1030
680,959,1033
681,962,1039
682,965,1042
683,967,1046
684,966,1045
685,967,1048
686,968,1055
687,970,1062
688,979,1068
689,987,1071
690,988,1076
691,989,1078
692,989,1081
693,990,1084
694,997,1087
695,1002,1085
696,1006,1088
697,1008,1085
698,1007,1086
699,1012,1089
700,1011,1095
701,1010,1094
702,1008,1093
703,1005,1090
704,1003,1088
705,1004,1091
706,1003,1094
707,1006,1095
708,1006,1095
709,1005,1093
710,1004,1092
711,1004,1093
712,1008,1098
713,1010,1098
714,1009,1099
715,1006,1099
716,1004,1097
717,1005,1098
718,1007,1101
719,1012,1103
720,1014,1103
721,1012,1103
722,1013,1103
723,1016,1104
724,1018,1109
725,1020,1109
726,1021,1110
727,1016,1110
728,1014,1109
729,1015,1112
730,1018,1116
731,1023,1119
732,1023,1118
733,1019,1115
734,1018,1118
735,1023,1121
736,1024,1124
737,1024,1125
738,1027,1124
739,1026,1123
740,1023,1127
741,1028,1127
742,1030,1133
743,1030,1134
744,1036,1131
745,1037,1130
746,1030,1130
747,1033,1133
748,1035,1134
749,1034,1135
750,1034,1134
751,1033,1130
752,1029,1130
753,1030,1132
754,1031,1132
755,1031,1133
756,1030,1132
757,1026,1128
758,1024,1125
759,1021,1125
760,1025,1129
761,1023,1125
762,1020,1120
763,1018,1118
764,1013,1116
765,1014,1116
766,1011,1116
767,1010,1111
768,1005,1112
769,1002,1106
770,999,1104
771,1000,1103
772,998,1104
773,1002,1103
774,1001,1098
775,999,1094
776,993,1094
777,992,1092
778,990,1092
779,989,1090
780,988,1089
781,986,1084
782,984,1083
783,983,1083
784,985,1083
785,986,1081
786,986,1077
787,984,1076
788,984,1077
789,983,1075
790,983,1076
791,986,1075
792,984,1073
793,985,1069
794,982,1067
795,979,1068
796,979,1071
797,980,1068
798,979,1066
799,971,1064
800,970,1062
801,973,1064
802,976,1067
803,977,1068
804,975,1065
805,974,1063
806,971,1063
807,972,1063
808,969,1064
809,971,1065
810,973,1062
811,973,1060
812,969,1059
813,973,1063
814,973,1064
815,972,1063
816,972,1063
817,970,1062
818,970,1061
819,970,1061
820,972,1064
821,971,1063
822,969,1063
823,968,1060
824,964,1059
825,966,1060
826,966,1062
827,967,1062
828,967,1061
829,964,1061
830,960,1058
831,965,1059
832,966,1063
833,966,1062
834,964,1059
835,961,1057
836,960,1056
837,961,1057
838,962,1059
839,963,1059
840,963,1058
841,960,1056
842,960,1053
843,960,1053
844,963,1056
845,964,1057
846,963,1057
847,961,1053
848,960,1051
849,959,1055
850,957,1056
851,958,1053
852,958,1053
853,960,1050
854,958,1050
855,958,1052
856,961,1052
857,959,1051
858,959,1051
859,958,1047
860,957,1047
861,959,1050
862,961,1051
863,962,1051
864,961,1051
865,959,1048
866,955,1048
867,954,1048
868,956,1051
869,958,1049
870,959,1051
871,959,1046
872,958,1045
873,956,1048
874,957,1051
875,959,1050
876,959,1050
877,959,1048
878,957,1047
879,956,1049
880,958,1049
881,960,1048
882,962,1048
883,960,1046
884,957,1047
885,958,1047
886,960,1047
887,961,1049
888,966,1050
889,962,1048
890,961,1048
891,964,1049
892,968,1051
893,970,1051
894,973,1049
895,979,1050
896,991,1054
897,1028,1058
898,1113,1070
899,1184,1118
900,1156,1187
901,1073,1191
902,1020,1136
903,1013,1095
904,1021,1088
905,1024,1088
906,1018,1083
907,1014,1076
908,1008,1071
909,1008,1072
910,1010,1072
911,1014,1068
912,1011,1061
913,1010,1055
914,1005,1045
915,1005,1040
916,1003,1039
917,1003,1035
918,1004,1030
919,996,1025
920,989,1021
921,982,1019
922,975,1018
923,968,1012
924,959,1006
925,947,1000
926,929,997
927,911,995
928,894,995
929,884,992
930,874,990
931,859,984
932,845,982
933,835,978
934,830,974
935,826,963
936,825,954
937,822,943
938,817,938
939,818,936
940,816,933
941,823,927
942,822,918
943,826,912
944,827,906
945,834,901
946,845,897
947,858,890
948,873,888
949,879,890
950,887,896
951,897,906
952,912,916
953,921,928
954,933,938
955,936,949
956,941,961
957,946,975
958,951,987
959,955,994
960,956,1002
961,959,1008
962,958,1011
963,964,1018
964,963,1025
965,965,1028
966,966,1030
967,963,1030
968,961,1031
969,962,1039
970,964,1044
971,966,1048
972,970,1050
973,973,1054
974,974,1059
975,980,1063
976,981,1070
977,984,1072
978,986,1073
979,989,1071
980,985,1071
981,990,1072
982,991,1075
983,992,1078
984,994,1076
985,991,1073
986,991,1075
987,994,1075
988,995,1081
989,997,1080
990,996,1079
991,997,1078
992,994,1079
993,997,1081
994,1002,1084
995,1002,1083
996,1003,1084
997,1002,1080
998,999,1081
999,1003,1088
1000,1004,1088
1001,1005,1088
1002,1004,1088
1003,1002,1087
1004,1003,1089
1005,1004,1091
1006,1007,1093
1007,1010,1093
1008,1008,1092
1009,1007,1094
1010,1008,1097
1011,1010,1102
1012,1014,1102
1013,1015,1104
1014,1012,1103
1015,1012,1103
1016,1010,1107
1017,1014,1111
1018,1017,1111
1019,1017,1113
1020,1016,1111
1021,1013,1112
1022,1017,1116
1023,1018,1119
1024,1021,1119
1025,1023,1118
1026,1023,1116
1027,1023,1115
1028,1025,1117
1029,1027,1120
1030,1029,1119
1031,1032,1121
1032,1029,1118
1033,1029,1118
1034,1032,1120
1035,1034,1121
1036,1037,1121
1037,1038,1121
1038,1038,1120
1039,1037,1119
1040,1038,1121
1041,1041,1121
1042,1044,1122
1043,1046,1121
1044,1044,1118
1045,1040,1120
1046,1041,1119
1047,1039,1120
1048,1036,1118
1049,1031,1113
1050,1027,1110
1051,1024,1109
1052,1022,1107
1053,1023,1109
1054,1020,1106
1055,1018,1103
1056,1014,1099
1057,1008,1098
1058,1007,1095
1059,1008,1094
1060,1011,1095
1061,1008,1090
1062,1005,1087
1063,1003,1085
1064,1001,1085
1065,1002,1087
1066,1002,1082
1067,1000,1081
1068,999,1079
1069,995,1074
1070,996,1075
1071,997,1076
1072,997,1075
1073,996,1071
1074,993,1072
1075,990,1066
1076,991,1068
1077,994,1069
1078,994,1068
1079,990,1065
1080,989,1063
1081,989,1061
1082,989,1062
1083,990,1065
1084,990,1061
1085,991,1061
1086,991,1058
1087,986,1056
1088,986,1059
1089,986,1061
1090,989,1060
1091,989,1056
1092,986,1055
1093,984,1055
1094,986,1055
1095,986,1057
1096,985,1059
1097,985,1059
1098,983,1055
1099,982,1053
1100,985,1055
1101,984,1058
1102,988,1055
1103,987,1055
1104,986,1053
1105,984,1054
1106,984,1055
1107,984,1055
1108,987,1054
1109,982,1052
1110,982,1051
1111,981,1050
1112,982,1052
1113,982,1053
1114,982,1054
1115,981,1052
1116,982,1049
1117,976,1051
1118,978,1053
1119,981,1055
1120,981,1056
1121,980,1053
1122,978,1052
1123,976,1049
1124,976,1052
1125,976,1052
1126,979,1052
1127,979,1051
1128,976,1049
1129,975,1047
1130,975,1051
1131,975,1052
1132,976,1048
1133,976,1048
1134,973,1047
1135,973,1048
1136,973,1049
1137,974,1048
1138,976,1046
1139,976,1046
1140,974,1044
1141,973,1043
1142,972,1045
1143,975,1047
1144,975,1048
1145,973,1046
1146,971,1043
1147,971,1042
1148,971,1045
1149,972,1047
1150,973,1047
1151,974,1046
1152,972,1044
1153,967,1043
1154,970,1046
1155,971,1045
1156,970,1046
1157,972,1045
1158,970,1043
1159,969,1042
1160,969,1043
1161,972,1044
1162,972,1044
1163,971,1044
1164,970,1041
1165,969,1042
1166,970,1041
1167,969,1045
1168,972,1046
1169,972,1044
1170,969,1042
1171,968,1043
1172,968,1044
1173,971,1044
1174,973,1047
1175,974,1044
1176,972,1043
1177,972,1043
1178,973,1043
1179,976,1048
1180,981,1047
1181,985,1046
1182,994,1047
1183,1016,1049
1184,1086,1055
1185,1182,1081
1186,1200,1150
1187,1120,1189
1188,1043,1149
1189,1019,1101
1190,1025,1082
1191,1029,1082
1192,1029,1082
1193,1024,1075
1194,1017,1070
1195,1014,1068
1196,1015,1066
1197,1015,1065
1198,1016,1058
1199,1014,1051
1200,1007,1043
1201,1005,1039
1202,1002,1036
1203,1000,1033
1204,998,1031
1205,992,1026
1206,981,1019
1207,970,1018
1208,961,1013
1209,955,1011
1210,944,1006
1211,929,1000
1212,910,996
1213,892,995
1214,880,995
1215,871,993
1216,860,991
1217,847,985
1218,835,974
1219,829,962
1220,827,952
1221,823,946
1222,826,936
1223,824,930
1224,823,921
1225,821,911
1226,823,905
1227,826,896
1228,832,888
1229,838,883
1230,845,873
1231,856,871
1232,869,873
1233,883,879
1234,894,886
1235,906,892
1236,914,901
1237,922,912
1238,929,926
1239,938,939
1240,945,951
1241,949,961
1242,950,969
1243,949,978
1244,951,987
1245,955,994
1246,960,999
1247,964,1004
1248,965,1007
1249,964,1008
1250,963,1015
1251,965,1020
1252,968,1023
1253,969,1026
1254,968,1029
1255,968,1033
1256,969,1041
1257,975,1048
1258,981,1053
1259,983,1056
1260,982,1059
1261,979,1059
1262,982,1062
1263,986,1067
1264,991,1065
1265,992,1064
1266,991,1064
1267,990,1068
1268,993,1068
1269,992,1068
1270,995,1069
1271,995,1069
1272,992,1069
1273,993,1068
1274,995,1069
1275,999,1073
1276,999,1073
1277,1000,1074
1278,1000,1073
1279,998,1073
1280,1001,1077
1281,1003,1077
1282,1003,1077
1283,1004,1076
1284,1003,1075
1285,1002,1077
1286,1002,1080
1287,1007,1082
1288,1009,1081
1289,1006,1081
1290,1010,1081
1291,1006,1080
1292,1010,1084
1293,1011,1087
1294,1014,1090
1295,1012,1088
1296,1013,1089
1297,1013,1091
1298,1014,1091
1299,1018,1096
1300,1018,1095
1301,1021,1096
1302,1022,1096
1303,1020,1097
1304,1021,1100
1305,1023,1104
1306,1025,1103
1307,1025,1103
1308,1025,1104
1309,1025,1105
1310,1026,1107
1311,1029,1111
1312,1033,1112
1313,1032,1111
1314,1031,1109
1315,1033,1112
1316,1031,1114
1317,1034,1117
1318,1033,1115
1319,1036,1115
1320,1035,1114
1321,1030,1113
1322,1032,1116
1323,1033,1118
1324,1036,1114
1325,1035,1115
1326,1030,1112
1327,1029,1111
1328,1029,1111
1329,1030,1113
1330,1029,1110
1331,1025,1108
1332,1024,1106
1333,1020,1105
1334,1021,1107
1335,1022,1107
1336,1020,1105
1337,1019,1101
1338,1014,1095
1339,1013,1096
1340,1012,1095
1341,1011,1096
1342,1010,1094
1343,1009,1089
1344,1007,1085
1345,1002,1082
1346,1002,1084
1347,1003,1084
1348,1003,1081
1349,1000,1079
1350,997,1073
1351,995,1072
1352,995,1073
1353,995,1074
1354,998,1071
1355,994,1068
1356,994,1064
1357,992,1064
1358,990,1065
1359,992,1068
1360,994,1066
1361,991,1064
1362,991,1063
1363,987,1061
1364,986,1062
1365,988,1065
1366,987,1067
1367,987,1063
1368,985,1062
1369,982,1060
1370,981,1065
1371,984,1063
1372,983,1062
1373,985,1059
1374,982,1058
1375,981,1056
1376,982,1057
1377,984,1056
1378,986,1055
1379,988,1052
1380,989,1053
1381,987,1050
1382,984,1050
1383,985,1052
1384,988,1053
1385,987,1050
1386,987,1050
1387,985,1050
1388,987,1053
1389,989,1055
1390,991,1053
1391,995,1052
1392,993,1050
1393,992,1049
1394,994,1052
1395,993,1054
1396,993,1055
1397,993,1052
1398,986,1049
1399,982,1045
1400,981,1048
1401,981,1049
1402,982,1047
1403,981,1045
1404,977,1044
1405,974,1042
1406,973,1042
1407,975,1043
1408,973,1042
1409,974,1042
1410,972,1039
1411,968,1039
1412,970,1039
1413,969,1040
1414,970,1039
1415,970,1038
1416,968,1034
1417,963,1035
1418,967,1037
1419,966,1037
1420,971,1039
1421,968,1034
1422,965,1034
1423,963,1033
1424,964,1036
1425,968,1036
1426,966,1035
1427,968,1035
1428,966,1033
1429,964,1032
1430,965,1033
1431,966,1034
1432,968,1033
1433,967,1033
1434,965,1032
1435,965,1032
1436,966,1034
1437,966,1034
1438,968,1035
1439,969,1035
1440,966,1031
1441,967,1032
1442,966,1033
1443,969,1037
1444,967,1035
1445,967,1034
1446,967,1033
1447,965,1031
1448,965,1031
1449,967,1034
1450,970,1035
1451,971,1035
1452,969,1031
1453,968,1033
1454,967,1034
1455,971,1036
1456,974,1036
1457,974,1035
1458,977,1034
1459,975,1033
1460,980,1038
1461,988,1042
1462,1002,1046
1463,1043,1049
1464,1135,1061
1465,1215,1122
1466,1198,1194
1467,1129,1194
1468,1097,1141
1469,1110,1111
1470,1130,1105
1471,1148,1107
1472,1168,1104
1473,1199,1104
1474,1236,1100
1475,1272,1100
1476,1299,1097
1477,1309,1089
1478,1301,1075
1479,1266,1053
1480,1219,1023
1481,1166,996
1482,1120,970
1483,1077,954
1484,1034,949
1485,995,954
1486,963,959
1487,945,967
1488,937,978
1489,934,988
1490,933,998
1491,936,1012
1492,937,1020
1493,940,1022
1494,939,1024
1495,937,1025
1496,940,1027
1497,940,1029
1498,943,1027
1499,942,1027
1500,938,1024
1501,938,1025
1502,938,1025
1503,939,1025
1504,939,1025
1505,938,1023
1506,934,1023
1507,931,1024
1508,932,1024
1509,934,1026
1510,936,1025
1511,935,1022
1512,933,1020
1513,928,1022
1514,931,1022
1515,932,1023
1516,932,1023
1517,932,1019
1518,928,1018
1519,924,1017
1520,924,1018
1521,926,1021
1522,923,1020
1523,925,1019
1524,924,1015
1525,919,1016
1526,923,1016
1527,922,1018
1528,922,1016
1529,918,1016
1530,917,1013
1531,914,1011
1532,915,1012
1533,917,1014
1534,915,1013
1535,916,1011
1536,914,1010
1537,910,1009
1538,911,1009
1539,914,1013
1540,915,1012
1541,913,1008
1542,908,1008
1543,908,1008
1544,906,1008
1545,909,1010
1546,909,1010
1547,910,1007
1548,907,1004
1549,904,1006
1550,908,1006
1551,907,1008
1552,908,1007
1553,906,1005
1554,906,1004
1555,904,1004
1556,907,1004
1557,910,1008
1558,911,1008
1559,911,1006
1560,910,1004
1561,907,1006
1562,911,1008
1563,912,1011
1564,915,1010
1565,916,1009
1566,913,1008
1567,915,1010
1568,917,1012
1569,922,1014
1570,925,1015
1571,925,1014
1572,926,1017
1573,926,1015
1574,931,1018
1575,933,1023
1576,936,1024
1577,935,1022
1578,937,1023
1579,939,1026
1580,945,1030
1581,946,1031
1582,949,1033
1583,952,1033
1584,955,1033
1585,955,1034
1586,958,1039
1587,962,1041
1588,964,1041
1589,966,1040
1590,965,1039
1591,964,1042
1592,968,1042
1593,970,1046
1594,971,1046
1595,971,1047
1596,971,1045
1597,972,1046
1598,971,1046
1599,972,1048
1600,973,1047
1601,973,1047
1602,974,1047
1603,972,1042
1604,973,1046
1605,972,1046
1606,974,1048
1607,973,1047
1608,973,1044
1609,971,1043
1610,973,1045
1611,975,1046
1612,974,1045
1613,973,1042
1614,970,1041
1615,970,1041
1616,970,1042
1617,971,1044
1618,972,1045
1619,972,1042
1620,969,1041
1621,967,1040
1622,965,1041
1623,967,1042
1624,971,1042
1625,970,1042
1626,969,1039
1627,964,1040
1628,968,1040
1629,968,1041
1630,969,1040
1631,967,1040
1632,964,1037
1633,964,1038
1634,963,1042
1635,963,1042
1636,965,1040
1637,967,1039
1638,963,1039
1639,962,1041
1640,962,1041
1641,963,1042
1642,965,1045
1643,965,1041
1644,962,1038
1645,960,1040
1646,961,1043
1647,963,1044
1648,964,1043
1649,964,1042
1650,963,1042
1651,960,1039
1652,962,1041
1653,962,1045
1654,966,1044
1655,967,1041
1656,963,1041
1657,963,1041
1658,962,1041
1659,964,1045
1660,965,1044
1661,966,1042
1662,963,1039
1663,963,1038
1664,964,1042
1665,967,1043
1666,966,1042
1667,966,1040
1668,965,1038
1669,962,1039
1670,964,1039
1671,964,1041
1672,968,1041
1673,970,1040
1674,966,1039
1675,966,1039
1676,965,1041
1677,967,1042
1678,970,1041
1679,966,1039
1680,964,1037
1681,966,1036
1682,966,1038
1683,968,1041
1684,969,1039
1685,969,1039
1686,968,1038
1687,966,1037
1688,967,1039
1689,969,1040
1690,970,1042
1691,969,1041
1692,967,1039
1693,965,1040
1694,966,1043
1695,965,1046
1696,966,1045
1697,968,1043
1698,966,1041
1699,962,1041
1700,964,1044
1701,966,1045
1702,968,1045
1703,968,1043
1704,966,1041
1705,965,1039
1706,968,1040
1707,971,1042
1708,972,1039
1709,973,1038
1710,974,1038
1711,970,1038
1712,971,1037
1713,974,1038
1714,974,1040
1715,975,1036
1716,975,1035
1717,973,1038
1718,974,1039
1719,979,1041
1720,982,1037
1721,984,1037
1722,983,1036
1723,980,1034
1724,982,1037
1725,984,1041
1726,984,1040
1727,981,1040
1728,975,1036
1729,975,1036
1730,974,1039
1731,974,1038
1732,975,1036
1733,978,1034
1734,974,1034
1735,972,1034
1736,971,1034
1737,970,1036
1738,974,1034
1739,974,1035
1740,975,1031
1741,975,1033
1742,980,1034
1743,986,1039
1744,995,1039
1745,1014,1039
1746,1058,1041
1747,1138,1055
1748,1206,1102
1749,1178,1169
1750,1097,1181
1751,1043,1134
1752,1029,1088
1753,1033,1073
1754,1033,1072
1755,1028,1071
1756,1027,1067
1757,1024,1058
1758,1022,1058
1759,1016,1055
1760,1018,1053
1761,1022,1054
1762,1023,1050
1763,1019,1043
1764,1018,1035
1765,1014,1029
1766,1013,1028
1767,1011,1029
1768,1012,1026
1769,1009,1023
1770,1006,1021
1771,998,1018
1772,995,1018
1773,989,1015
1774,980,1012
1775,972,1008
1776,965,1003
1777,952,1001
1778,938,1000
1779,922,1002
1780,911,999
1781,904,996
1782,901,991
1783,893,991
1784,889,989
1785,882,989
1786,880,984
1787,877,983
1788,877,979
1789,874,978
1790,882,980
1791,892,981
1792,905,983
1793,917,987
1794,933,990
1795,941,987
1796,954,989
1797,960,990
1798,963,984
1799,957,977
1800,952,964
1801,943,952
1802,937,947
1803,934,945
1804,932,947
1805,927,949
1806,926,956
1807,925,963
1808,930,975
1809,940,985
1810,945,995
1811,952,1003
1812,956,1011
1813,957,1022
1814,962,1030
1815,961,1035
1816,964,1037
1817,966,1039
1818,966,1039
1819,965,1039
1820,971,1041
1821,971,1043
1822,976,1043
1823,980,1041
1824,980,1040
1825,980,1038
1826,979,1041
