'sample #','V5','MLII'
136,971,1023
137,968,1021
138,970,1019
139,967,1017
140,966,1021
141,967,1021
142,971,1022
143,970,1021
144,970,1020
145,967,1018
146,967,1016
147,969,1018
148,971,1020
149,970,1020
150,966,1018
151,967,1016
152,964,1018
153,967,1019
154,969,1020
155,971,1018
156,969,1017
157,965,1017
158,966,1017
159,969,1018
160,970,1021
161,970,1019
162,967,1016
163,965,1013
164,965,1018
165,967,1018
166,967,1021
167,968,1018
168,967,1015
169,965,1015
170,962,1016
171,966,1016
172,969,1021
173,971,1018
174,967,1016
175,964,1015
176,966,1018
177,966,1020
178,968,1021
179,969,1018
180,967,1015
181,965,1015
182,967,1018
183,967,1017
184,967,1019
185,967,1017
186,967,1018
187,966,1013
188,965,1016
189,965,1019
190,970,1021
191,971,1021
192,969,1018
193,967,1015
194,965,1016
195,968,1018
196,970,1019
197,971,1018
198,970,1017
199,967,1014
200,967,1013
201,970,1016
202,972,1020
203,971,1019
204,971,1016
205,963,1014
206,965,1018
207,970,1020
208,970,1021
209,971,1021
210,969,1014
211,966,1014
212,965,1019
213,968,1021
214,971,1022
215,972,1020
216,971,1018
217,965,1018
218,966,1018
219,967,1020
220,968,1024
221,975,1022
222,970,1019
223,971,1016
224,970,1021
225,973,1022
226,976,1025
227,979,1026
228,977,1025
229,975,1024
230,976,1026
231,979,1031
232,985,1031
233,985,1028
234,985,1029
235,983,1026
236,983,1031
237,984,1033
238,988,1035
239,984,1034
240,980,1029
241,978,1028
242,978,1028
243,978,1027
244,977,1029
245,976,1027
246,975,1025
247,973,1023
248,972,1027
249,975,1030
250,978,1030
251,976,1031
252,975,1030
253,971,1029
254,976,1031
255,979,1035
256,979,1036
257,980,1030
258,979,1025
259,972,1023
260,971,1023
261,968,1025
262,969,1028
263,967,1025
264,964,1023
265,966,1023
266,966,1021
267,968,1023
268,972,1025
269,972,1023
270,964,1020
271,965,1020
272,963,1021
273,965,1023
274,967,1024
275,969,1021
276,965,1019
277,962,1018
278,963,1021
279,967,1023
280,969,1025
281,967,1023
282,966,1019
283,966,1018
284,961,1021
285,966,1022
286,968,1025
287,970,1024
288,966,1023
289,965,1020
290,964,1023
291,965,1027
292,968,1029
293,968,1029
294,969,1028
295,965,1030
296,966,1037
297,973,1046
298,976,1052
299,981,1062
300,985,1071
301,989,1081
302,991,1095
303,989,1121
304,977,1151
305,963,1184
306,954,1217
307,943,1249
308,927,1289
309,916,1331
310,915,1376
311,930,1420
312,956,1434
313,988,1400
314,1012,1304
315,1015,1178
316,981,1080
317,921,1026
318,879,1010
319,870,1013
320,886,1019
321,918,1023
322,947,1024
323,963,1023
324,966,1016
325,967,1011
326,969,1009
327,970,1012
328,975,1010
329,974,1010
330,974,1006
331,975,1002
332,977,1005
333,979,1006
334,984,1009
335,982,1008
336,984,1005
337,980,1003
338,981,1008
339,982,1006
340,986,1007
341,986,1006
342,986,1003
343,983,1003
344,983,1003
345,984,1006
346,989,1007
347,989,1004
348,987,999
349,983,997
350,984,1001
351,986,1002
352,991,1005
353,990,1000
354,988,995
355,985,999
356,985,1000
357,988,999
358,988,1003
359,990,1001
360,989,997
361,987,995
362,988,999
363,990,999
364,992,1001
365,992,1001
366,987,998
367,990,998
368,988,1000
369,991,999
370,996,1002
371,998,1001
372,999,999
373,996,999
374,995,1003
375,997,1003
376,998,1005
377,1001,1003
378,999,999
379,1000,1001
380,1000,1002
381,1000,1005
382,1002,1007
383,1005,1007
384,1004,1003
385,1003,1004
386,1002,1005
387,1004,1012
388,1009,1012
389,1009,1013
390,1007,1012
391,1010,1010
392,1008,1016
393,1012,1019
394,1016,1023
395,1018,1024
396,1017,1023
397,1016,1025
398,1018,1030
399,1022,1035
400,1023,1043
401,1025,1042
402,1025,1043
403,1023,1044
404,1023,1050
405,1026,1056
406,1029,1062
407,1029,1062
408,1024,1060
409,1022,1061
410,1022,1065
411,1020,1070
412,1026,1072
413,1026,1071
414,1022,1068
415,1018,1067
416,1017,1067
417,1016,1067
418,1017,1069
419,1013,1066
420,1011,1060
421,1008,1055
422,1004,1056
423,1005,1056
424,1005,1055
425,1001,1051
426,998,1046
427,994,1043
428,991,1042
429,991,1044
430,991,1042
431,988,1039
432,988,1037
433,982,1032
434,984,1035
435,984,1036
436,986,1038
437,985,1034
438,981,1031
439,980,1029
440,980,1032
441,981,1033
442,982,1033
443,981,1031
444,979,1028
445,978,1027
446,974,1027
447,977,1030
448,980,1034
449,979,1030
450,977,1028
451,975,1026
452,975,1029
453,976,1031
454,979,1029
455,980,1027
456,975,1027
457,971,1024
458,975,1027
459,975,1027
460,977,1028
461,977,1026
462,976,1023
463,971,1023
464,971,1023
465,973,1026
466,977,1030
467,979,1025
468,975,1022
469,972,1023
470,972,1021
471,973,1024
472,976,1025
473,975,1024
474,974,1020
475,971,1020
476,973,1022
477,973,1027
478,975,1027
479,977,1023
480,974,1023
481,971,1022
482,972,1022
483,974,1026
484,977,1028
485,978,1026
486,976,1024
487,973,1022
488,974,1024
489,976,1027
490,980,1027
491,980,1025
492,976,1024
493,976,1024
494,976,1027
495,976,1029
496,979,1028
497,979,1026
498,977,1023
499,977,1024
500,975,1026
501,978,1030
502,980,1030
503,981,1028
504,978,1027
505,976,1026
506,973,1026
507,975,1031
508,980,1031
509,978,1030
510,976,1028
511,973,1025
512,972,1027
513,975,1029
514,976,1030
515,977,1028
516,973,1025
517,971,1023
518,970,1025
519,974,1026
520,977,1028
521,976,1027
522,974,1024
523,972,1022
524,972,1023
525,974,1026
526,976,1030
527,976,1024
528,973,1025
529,971,1021
530,970,1023
531,971,1027
532,974,1030
533,973,1026
534,968,1023
535,966,1020
536,968,1023
537,968,1024
538,972,1027
539,971,1025
540,969,1022
541,967,1021
542,967,1022
543,971,1024
544,974,1027
545,973,1023
546,970,1020
547,968,1018
548,968,1023
549,971,1024
550,975,1023
551,972,1024
552,971,1023
553,970,1021
554,970,1022
555,972,1022
556,973,1025
557,974,1023
558,970,1022
559,970,1022
560,968,1023
561,970,1023
562,971,1023
563,972,1022
564,967,1019
565,967,1020
566,967,1020
567,967,1022
568,972,1023
569,969,1023
570,969,1020
571,968,1018
572,969,1021
573,969,1022
574,971,1025
575,974,1024
576,970,1020
577,969,1022
578,966,1020
579,970,1024
580,971,1024
581,971,1023
582,970,1020
583,965,1018
584,965,1021
585,967,1024
586,971,1024
587,972,1023
588,970,1022
589,967,1019
590,962,1019
591,966,1021
592,970,1023
593,970,1023
594,968,1019
595,965,1018
596,965,1022
597,967,1025
598,969,1023
599,970,1022
600,968,1019
601,967,1017
602,964,1022
603,970,1024
604,969,1024
605,968,1023
606,969,1019
607,968,1018
608,967,1019
609,970,1022
610,973,1024
611,973,1023
612,971,1020
613,970,1020
614,966,1020
615,972,1024
616,975,1024
617,973,1023
618,971,1019
619,967,1018
620,967,1020
621,971,1023
622,975,1026
623,973,1023
624,970,1021
625,969,1018
626,967,1023
627,970,1022
628,973,1024
629,974,1024
630,972,1021
631,970,1020
632,970,1025
633,972,1025
634,978,1024
635,976,1024
636,975,1022
637,975,1022
638,976,1029
639,981,1029
640,985,1032
641,984,1032
642,982,1028
643,982,1027
644,983,1030
645,985,1033
646,988,1034
647,989,1036
648,989,1033
649,986,1030
650,984,1034
651,985,1035
652,987,1038
653,987,1033
654,981,1027
655,980,1024
656,977,1029
657,978,1029
658,980,1029
659,979,1032
660,976,1030
661,975,1028
662,977,1030
663,975,1034
664,982,1035
665,980,1035
666,978,1030
667,976,1029
668,977,1032
669,979,1033
670,982,1031
671,982,1026
672,979,1021
673,975,1022
674,968,1023
675,970,1026
676,972,1026
677,969,1024
678,968,1023
679,967,1022
680,968,1025
681,971,1026
682,972,1024
683,973,1024
684,968,1021
685,969,1019
686,968,1021
687,971,1024
688,973,1024
689,972,1021
690,969,1022
691,968,1022
692,968,1023
693,970,1024
694,974,1026
695,973,1022
696,970,1019
697,967,1020
698,967,1022
699,970,1026
700,974,1025
701,974,1024
702,971,1024
703,970,1021
704,969,1021
705,972,1027
706,973,1029
707,975,1028
708,975,1027
709,975,1031
710,976,1040
711,979,1049
712,984,1055
713,988,1066
714,990,1072
715,994,1084
716,996,1101
717,991,1122
718,981,1149
719,974,1177
720,963,1203
721,953,1231
722,943,1264
723,932,1294
724,923,1327
725,923,1361
726,932,1397
727,943,1427
728,965,1430
729,994,1407
730,1019,1349
731,1029,1254
732,1017,1163
733,983,1091
734,938,1046
735,904,1025
736,890,1015
737,889,1011
738,898,1010
739,907,1015
740,924,1018
741,951,1021
742,969,1021
743,972,1018
744,974,1011
745,974,1008
746,976,1007
747,978,1006
748,983,1006
749,982,1006
750,982,1002
751,978,1000
752,981,1004
753,985,1002
754,988,1004
755,988,1001
756,989,1001
757,987,1000
758,987,1002
759,991,1005
760,993,1003
761,993,1001
762,991,997
763,990,997
764,990,999
765,993,1002
766,993,1001
767,998,1000
768,993,999
769,991,997
770,990,996
771,994,1000
772,998,999
773,996,996
774,994,994
775,991,992
776,991,995
777,993,998
778,996,997
779,996,996
780,995,990
781,994,991
782,993,992
783,996,994
784,1000,996
785,998,994
786,997,991
787,997,991
788,993,992
789,996,994
790,1002,994
791,998,993
792,997,991
793,999,992
794,999,994
795,1001,996
796,1004,996
797,1003,994
798,1003,991
799,1000,990
800,1001,993
801,1001,998
802,1005,1000
803,1008,997
804,1002,995
805,1003,993
806,1002,996
807,1006,1000
808,1010,998
809,1011,997
810,1009,996
811,1008,997
812,1007,998
813,1013,1003
814,1015,1003
815,1016,1003
816,1016,1002
817,1016,1002
818,1014,1003
819,1020,1010
820,1023,1012
821,1024,1012
822,1023,1011
823,1021,1014
824,1022,1018
825,1024,1024
826,1029,1026
827,1029,1027
828,1028,1026
829,1026,1028
830,1026,1034
831,1030,1037
832,1034,1041
833,1032,1044
834,1030,1044
835,1029,1047
836,1032,1051
837,1036,1057
838,1040,1058
839,1038,1061
840,1035,1060
841,1031,1059
842,1034,1064
843,1033,1064
844,1033,1068
845,1031,1066
846,1028,1063
847,1023,1060
848,1021,1060
849,1023,1061
850,1023,1057
851,1020,1054
852,1017,1051
853,1011,1045
854,1007,1046
855,1008,1047
856,1010,1043
857,1005,1041
858,1002,1036
859,996,1034
860,997,1032
861,998,1035
862,999,1035
863,996,1033
864,994,1030
865,994,1027
866,993,1030
867,995,1031
868,994,1030
869,995,1029
870,989,1025
871,990,1026
872,989,1027
873,993,1029
874,994,1027
875,992,1025
876,991,1023
877,989,1023
878,987,1024
879,988,1027
880,990,1027
881,992,1027
882,987,1022
883,986,1021
884,984,1022
885,984,1021
886,989,1024
887,987,1022
888,985,1020
889,984,1021
890,984,1020
891,989,1025
892,990,1023
893,985,1021
894,987,1016
895,986,1018
896,985,1019
897,985,1022
898,990,1022
899,989,1019
900,988,1017
901,986,1018
902,985,1017
903,985,1020
904,986,1020
905,987,1019
906,985,1016
907,981,1013
908,981,1017
909,983,1021
910,986,1018
911,983,1017
912,981,1013
913,980,1016
914,981,1018
915,983,1020
916,987,1022
917,986,1021
918,985,1018
919,984,1017
920,981,1018
921,983,1020
922,986,1023
923,987,1020
924,985,1016
925,984,1018
926,982,1019
927,986,1024
928,990,1022
929,988,1021
930,984,1019
931,984,1019
932,982,1022
933,981,1023
934,987,1024
935,985,1023
936,984,1019
937,979,1020
938,979,1022
939,981,1022
940,983,1023
941,982,1024
942,978,1021
943,977,1019
944,978,1021
945,982,1024
946,983,1022
947,982,1021
948,978,1020
949,976,1019
950,977,1021
951,980,1024
952,983,1024
953,981,1020
954,980,1018
955,978,1017
956,975,1020
957,979,1022
958,979,1023
959,978,1022
960,977,1016
961,975,1016
962,973,1016
963,973,1019
964,975,1021
965,974,1019
966,973,1016
967,970,1017
968,971,1019
969,973,1021
970,977,1019
971,975,1018
972,974,1014
973,971,1015
974,972,1017
975,974,1019
976,974,1018
977,972,1020
978,970,1013
979,970,1013
980,969,1016
981,973,1018
982,975,1017
983,973,1014
984,971,1016
985,966,1014
986,968,1017
987,970,1021
988,972,1019
989,970,1017
990,968,1014
991,967,1015
992,965,1016
993,970,1021
994,973,1020
995,970,1019
996,969,1016
997,966,1013
998,968,1016
999,975,1016
1000,970,1016
1001,967,1015
1002,968,1014
1003,966,1016
1004,971,1019
1005,973,1018
1006,972,1019
1007,969,1016
1008,966,1016
1009,969,1016
1010,968,1022
1011,969,1021
1012,971,1018
1013,969,1015
1014,966,1016
1015,966,1018
1016,966,1020
1017,970,1019
1018,971,1018
1019,966,1017
1020,965,1015
1021,966,1019
1022,968,1023
1023,972,1022
1024,971,1019
1025,969,1017
1026,964,1018
1027,966,1018
1028,970,1020
1029,970,1021
1030,969,1017
1031,968,1016
1032,967,1016
1033,963,1019
1034,970,1023
1035,974,1021
1036,971,1020
1037,968,1016
1038,965,1014
1039,966,1016
1040,967,1021
1041,970,1022
1042,972,1020
1043,968,1019
1044,965,1015
1045,966,1018
1046,968,1022
1047,974,1024
1048,971,1021
1049,970,1018
1050,968,1020
1051,968,1021
1052,974,1023
1053,977,1023
1054,974,1024
1055,973,1022
1056,974,1023
1057,976,1027
1058,980,1028
1059,984,1029
1060,977,1030
1061,979,1026
1062,975,1025
1063,977,1030
1064,981,1032
1065,985,1033
1066,986,1032
1067,984,1031
1068,979,1030
1069,979,1031
1070,978,1033
1071,981,1031
1072,977,1027
1073,976,1027
1074,973,1025
1075,971,1028
1076,974,1031
1077,975,1032
1078,978,1027
1079,976,1028
1080,973,1027
1081,976,1032
1082,975,1034
1083,980,1032
1084,979,1032
1085,979,1029
1086,978,1025
1087,977,1024
1088,977,1025
1089,975,1025
1090,970,1020
1091,967,1020
1092,963,1020
1093,963,1021
1094,968,1024
1095,970,1023
1096,968,1023
1097,968,1021
1098,965,1018
1099,966,1021
1100,968,1024
1101,970,1024
1102,967,1022
1103,966,1019
1104,966,1018
1105,967,1021
1106,967,1023
1107,970,1023
1108,972,1023
1109,970,1020
1110,966,1021
1111,966,1021
1112,968,1022
1113,972,1025
1114,970,1019
1115,968,1019
1116,965,1018
1117,967,1021
1118,968,1024
1119,972,1023
1120,967,1023
1121,968,1019
1122,968,1020
1123,969,1021
1124,972,1029
1125,975,1030
1126,974,1032
1127,973,1034
1128,975,1039
1129,978,1048
1130,984,1062
1131,990,1070
1132,996,1079
1133,994,1086
1134,991,1100
1135,977,1127
1136,966,1159
1137,962,1187
1138,951,1214
1139,939,1239
1140,919,1265
1141,906,1297
1142,905,1336
1143,915,1379
1144,935,1409
1145,957,1412
1146,981,1389
1147,1005,1333
1148,1019,1255
1149,1017,1170
1150,990,1099
1151,949,1050
1152,906,1024
1153,888,1014
1154,887,1012
1155,895,1014
1156,904,1017
1157,917,1015
1158,935,1014
1159,952,1015
1160,964,1015
1161,970,1019
1162,970,1013
1163,970,1009
1164,971,1006
1165,972,1003
1166,975,1007
1167,977,1006
1168,977,1002
1169,974,1002
1170,975,1001
1171,978,1002
1172,976,1007
1173,984,1007
1174,984,1000
1175,981,1000
1176,981,998
1177,978,1002
1178,985,1002
1179,986,1004
1180,988,1002
1181,984,999
1182,981,999
1183,985,1000
1184,987,1000
1185,989,1000
1186,991,1002
1187,987,998
1188,983,995
1189,987,998
1190,988,1000
1191,990,1001
1192,991,997
1193,988,995
1194,985,994
1195,985,998
1196,989,1000
1197,992,999
1198,990,996
1199,991,995
1200,986,995
1201,988,995
1202,990,1000
1203,991,997
1204,995,998
1205,990,994
1206,987,995
1207,989,997
1208,990,1000
1209,994,998
1210,994,997
1211,992,994
1212,990,993
1213,992,995
1214,993,997
1215,998,1001
1216,997,999
1217,994,995
1218,995,994
1219,994,995
1220,998,998
1221,999,1000
1222,1000,1000
1223,999,997
1224,998,998
1225,998,1001
1226,999,1004
1227,1004,1003
1228,1004,1001
1229,1002,1000
1230,1000,1000
1231,1002,1004
1232,1005,1006
1233,1007,1008
1234,1008,1007
1235,1007,1008
1236,1006,1008
1237,1008,1010
1238,1011,1013
1239,1014,1014
1240,1016,1014
1241,1016,1015
1242,1013,1018
1243,1016,1020
1244,1019,1025
1245,1020,1027
1246,1020,1028
1247,1021,1030
1248,1021,1031
1249,1022,1036
1250,1023,1042
1251,1028,1045
1252,1025,1044
1253,1021,1048
1254,1020,1048
1255,1022,1054
1256,1024,1060
1257,1025,1063
1258,1026,1061
1259,1025,1062
1260,1021,1063
1261,1023,1066
1262,1024,1068
1263,1021,1066
1264,1020,1067
1265,1017,1063
1266,1011,1060
1267,1008,1064
1268,1010,1060
1269,1010,1059
1270,1008,1056
1271,1006,1051
1272,1000,1048
1273,999,1050
1274,1001,1049
1275,1001,1049
1276,997,1044
1277,994,1039
1278,988,1037
1279,987,1038
1280,990,1040
1281,991,1040
1282,990,1037
1283,987,1032
1284,985,1033
1285,985,1034
1286,987,1035
1287,987,1035
1288,988,1032
1289,983,1028
1290,979,1031
1291,981,1034
1292,985,1034
1293,987,1035
1294,986,1030
1295,982,1027
1296,978,1027
1297,980,1029
1298,983,1034
1299,986,1032
1300,985,1031
1301,981,1027
1302,980,1027
1303,978,1027
1304,979,1029
1305,982,1029
1306,981,1027
1307,980,1026
1308,979,1024
1309,979,1024
1310,981,1029
1311,982,1027
1312,980,1025
1313,980,1021
1314,976,1019
1315,977,1025
1316,977,1026
1317,986,1028
1318,981,1024
1319,980,1022
1320,977,1018
1321,982,1020
1322,979,1023
1323,980,1024
1324,984,1021
1325,980,1019
1326,977,1022
1327,979,1022
1328,981,1025
1329,985,1023
1330,987,1020
1331,983,1021
1332,980,1020
1333,982,1022
1334,983,1026
1335,987,1028
1336,985,1026
1337,982,1023
1338,979,1023
1339,980,1024
1340,980,1026
1341,983,1028
1342,984,1027
1343,982,1024
1344,982,1023
1345,982,1025
1346,983,1029
1347,986,1028
1348,984,1026
1349,982,1023
1350,979,1023
1351,980,1026
1352,983,1030
1353,984,1028
1354,985,1026
1355,981,1022
1356,980,1025
1357,976,1023
1358,978,1026
1359,981,1027
1360,981,1024
1361,977,1022
1362,975,1023
1363,975,1024
1364,979,1026
1365,979,1025
1366,978,1023
1367,977,1020
1368,975,1021
1369,975,1021
1370,980,1024
1371,978,1025
1372,980,1022
1373,976,1019
1374,974,1020
1375,974,1023
1376,976,1025
1377,977,1022
1378,977,1022
1379,973,1017
1380,975,1018
1381,972,1017
1382,975,1021
1383,976,1021
1384,975,1020
1385,972,1015
1386,970,1016
1387,968,1018
1388,973,1021
1389,975,1021
1390,975,1016
1391,971,1016
1392,966,1016
1393,969,1019
1394,970,1020
1395,974,1021
1396,973,1019
1397,972,1017
1398,970,1016
1399,969,1018
1400,970,1020
1401,974,1019
1402,974,1019
1403,970,1016
1404,966,1017
1405,969,1019
1406,972,1020
1407,975,1021
1408,974,1020
1409,971,1015
1410,965,1014
1411,966,1018
1412,971,1021
1413,973,1022
1414,971,1018
1415,967,1013
1416,964,1017
1417,965,1017
1418,971,1020
1419,972,1019
1420,973,1020
1421,972,1017
1422,970,1014
1423,970,1018
1424,972,1020
1425,974,1019
1426,973,1020
1427,973,1017
1428,971,1017
1429,968,1019
1430,972,1021
1431,976,1021
1432,975,1019
1433,973,1016
1434,968,1015
1435,969,1018
1436,970,1021
1437,973,1022
1438,976,1020
1439,972,1017
1440,970,1015
1441,969,1017
1442,971,1021
1443,973,1022
1444,972,1022
1445,970,1018
1446,970,1017
1447,970,1019
1448,970,1020
1449,975,1021
1450,975,1020
1451,973,1014
1452,971,1017
1453,971,1019
1454,973,1019
1455,978,1021
1456,974,1017
1457,974,1016
1458,973,1015
1459,970,1019
1460,973,1022
1461,975,1022
1462,975,1019
1463,972,1016
1464,969,1017
1465,969,1020
1466,973,1021
1467,976,1023
1468,974,1020
1469,974,1020
1470,972,1019
1471,970,1022
1472,976,1022
1473,981,1025
1474,982,1023
1475,981,1023
1476,981,1026
1477,980,1027
1478,984,1031
1479,987,1029
1480,987,1026
1481,985,1029
1482,986,1028
1483,985,1028
1484,989,1031
1485,989,1031
1486,988,1031
1487,984,1027
1488,983,1024
1489,981,1026
1490,979,1026
1491,981,1027
1492,977,1026
1493,977,1022
1494,976,1024
1495,975,1025
1496,979,1031
1497,979,1031
1498,981,1029
1499,983,1027
1500,981,1024
1501,982,1023
1502,982,1023
1503,979,1018
1504,975,1019
1505,970,1016
1506,966,1018
1507,969,1019
1508,970,1020
1509,975,1018
1510,973,1016
1511,971,1015
1512,968,1016
1513,968,1017
1514,970,1021
1515,973,1020
1516,973,1019
1517,969,1014
1518,968,1015
1519,968,1017
1520,969,1020
1521,972,1019
1522,971,1019
1523,969,1015
1524,968,1014
1525,968,1018
1526,972,1020
1527,974,1019
1528,974,1018
1529,969,1017
1530,969,1015
1531,969,1018
1532,972,1021
1533,975,1022
1534,973,1023
1535,973,1020
1536,969,1023
1537,972,1031
1538,977,1037
1539,982,1046
1540,985,1053
1541,985,1064
1542,987,1077
1543,995,1091
1544,993,1115
1545,986,1146
1546,972,1177
1547,961,1205
1548,953,1240
1549,941,1273
1550,931,1307
1551,924,1339
1552,926,1380
1553,939,1413
1554,957,1431
1555,986,1421
1556,1011,1371
1557,1027,1284
1558,1022,1180
1559,993,1101
1560,949,1050
1561,909,1026
1562,891,1016
1563,893,1015
1564,898,1013
1565,909,1013
1566,922,1016
1567,949,1015
1568,965,1017
1569,971,1014
1570,973,1012
1571,973,1002
1572,970,1000
1573,970,999
1574,974,1002
1575,978,1002
1576,980,998
1577,979,997
1578,977,996
1579,977,998
1580,983,1000
1581,985,998
1582,985,995
1583,984,992
1584,983,995
1585,984,995
1586,987,998
1587,990,998
1588,989,996
1589,987,994
1590,984,994
1591,985,995
1592,986,998
1593,990,996
1594,988,995
1595,984,992
1596,984,989
1597,987,992
1598,988,993
1599,992,994
1600,991,989
1601,988,989
1602,987,989
1603,990,991
1604,992,993
1605,994,994
1606,994,990
1607,992,986
1608,991,987
1609,990,989
1610,993,990
1611,997,992
1612,995,991
1613,993,989
1614,992,986
1615,994,990
1616,995,993
1617,997,993
1618,997,994
1619,993,988
1620,996,988
1621,996,990
1622,998,993
1623,1000,992
1624,999,991
1625,998,989
1626,996,992
1627,997,993
1628,1003,995
1629,1008,997
1630,1007,995
1631,1003,992
1632,1003,992
1633,1004,996
1634,1004,998
1635,1011,1000
1636,1012,1000
1637,1009,994
1638,1008,998
1639,1010,1001
1640,1012,1003
1641,1017,1003
1642,1016,1002
1643,1015,1002
1644,1012,1007
1645,1017,1008
1646,1020,1015
1647,1023,1015
1648,1022,1015
1649,1024,1014
1650,1024,1019
1651,1023,1024
1652,1029,1031
1653,1031,1033
1654,1032,1033
1655,1031,1034
1656,1029,1037
1657,1029,1043
1658,1032,1050
1659,1035,1052
1660,1036,1053
1661,1032,1052
1662,1034,1057
1663,1033,1061
1664,1036,1065
1665,1036,1066
1666,1034,1066
1667,1030,1060
1668,1026,1062
1669,1025,1063
1670,1027,1063
1671,1025,1062
1672,1024,1060
1673,1017,1054
1674,1014,1052
1675,1012,1051
1676,1014,1051
1677,1014,1049
1678,1010,1046
1679,1006,1041
1680,1004,1038
1681,999,1040
1682,1004,1038
1683,1003,1038
1684,1000,1032
1685,996,1030
1686,994,1030
1687,992,1028
1688,997,1032
1689,996,1031
1690,994,1026
1691,992,1027
1692,990,1024
1693,989,1026
1694,988,1030
1695,994,1029
1696,993,1026
1697,991,1023
1698,987,1024
1699,988,1026
1700,990,1027
1701,988,1027
1702,991,1024
1703,987,1021
1704,985,1023
1705,986,1026
1706,987,1029
1707,992,1027
1708,989,1025
1709,987,1021
1710,983,1021
1711,987,1024
1712,991,1023
1713,990,1023
1714,989,1022
1715,988,1019
1716,985,1019
1717,988,1019
1718,988,1020
1719,990,1021
1720,987,1018
1721,985,1018
1722,985,1017
1723,987,1017
1724,989,1022
1725,989,1020
1726,989,1017
1727,985,1016
1728,981,1016
1729,985,1017
1730,989,1019
1731,990,1018
1732,987,1017
1733,985,1016
1734,984,1016
1735,985,1018
1736,990,1020
1737,990,1018
1738,990,1017
1739,988,1016
1740,986,1015
1741,987,1020
1742,989,1021
1743,992,1019
1744,990,1018
1745,991,1016
1746,987,1017
1747,986,1019
1748,991,1023
1749,992,1023
1750,991,1021
1751,989,1018
1752,986,1019
1753,987,1020
1754,988,1024
1755,992,1026
1756,991,1023
1757,989,1020
1758,986,1021
1759,988,1022
1760,992,1026
1761,994,1025
1762,992,1023
1763,989,1020
1764,986,1020
1765,986,1023
1766,987,1026
1767,990,1026
1768,990,1026
1769,985,1022
1770,984,1021
1771,985,1022
1772,984,1024
1773,988,1024
1774,987,1025
1775,985,1021
1776,981,1020
1777,984,1022
1778,984,1023
1779,987,1023
1780,983,1023
1781,985,1022
1782,980,1019
1783,978,1021
1784,982,1024
1785,984,1023
1786,983,1022
1787,982,1019
1788,980,1022
1789,982,1020
1790,985,1025
1791,987,1022
1792,983,1022
1793,981,1019
1794,979,1018
1795,980,1020
1796,985,1022
1797,984,1022
1798,984,1021
1799,978,1019
1800,978,1015
1801,979,1022
1802,979,1021
1803,979,1020
1804,983,1020
1805,980,1018
1806,975,1016
1807,978,1023
1808,978,1024
1809,980,1024
1810,982,1022
1811,980,1017
1812,977,1019
1813,979,1020
1814,980,1025
1815,983,1023
1816,983,1023
1817,980,1020
1818,979,1018
1819,976,1023
1820,982,1024
1821,983,1024
1822,981,1023
1823,981,1018
1824,979,1019
1825,980,1022
1826,982,1024
1827,981,1025
1828,983,1021
1829,978,1020
1830,977,1018
1831,977,1022
1832,980,1025
1833,982,1024
1834,981,1025
1835,981,1020
1836,978,1020
1837,977,1021
1838,979,1025
1839,982,1024
1840,982,1023
1841,980,1020
1842,977,1018
1843,977,1023
1844,977,1026
1845,981,1022
1846,981,1020
1847,976,1021
1848,975,1020
1849,976,1024
1850,979,1025
1851,982,1025
1852,983,1022
1853,978,1019
1854,978,1021
1855,977,1020
1856,983,1025
